baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CHMP1B	457.517110176444	-0.345574755976611	0.10251471214401	-3.37097718707103	0.000749020601300135	0.00245974406628813
TCOF1	4601.81326886684	-0.137278937998999	0.0551060791069269	-2.49117593237989	0.012732105683428	0.0299363378599281
NSRP1	441.339978999896	0.102020553126071	0.106882175233914	0.954514191938899	0.339823429007086	0.460870483482152
SPPL3	418.096430684598	0.388967348449615	0.115419291794727	3.37003755959094	0.000751579386336322	0.00246606708196477
OPA3	188.500466049749	-0.00118799279816281	0.173776441208614	-0.00683632827269523	0.994545441705482	0.996246258666821
OPA1	2736.54496934594	0.0401606554603435	0.0518974947260427	0.773845744815703	0.439022017135402	0.560277087529622
ITGA1	53.2796121818781	-0.703298445698907	0.312738594112059	-2.2488380357907	0.0245228024771166	0.0523963518813241
ITGA2	286.180706240772	0.0150930773111018	0.16216958921004	0.0930697141469195	0.925848177587642	0.950109645740681
ITGA3	10167.7932523767	0.120603168538045	0.0453131050434696	2.66155162887974	0.00777814114099955	0.0195264273948024
ITGA5	4020.91632135976	0.0117352330790501	0.0569538444109089	0.206048128979374	0.836753316338887	0.88871753847559
ITGA6	1973.14804098516	0.501284333650415	0.060405234448928	8.29869030761308	1.05265375308849e-16	2.12734402938178e-15
UFSP2	67.016352416958	0.510271683474258	0.258807667801731	1.97162505967625	0.0486524242890057	0.0942000610177151
FAM212B	39.0324016505374	-1.00173711887031	0.369839285392831	-2.70857412512653	0.00675730156406018	0.0172190313197616
CHST1	15.5580323481435	0.918225161227468	0.568622161241546	1.614824788437	0.106348643441168	0.181749598249638
CHST3	2298.47446585603	0.26231140035735	0.0576418794089937	4.55070866957926	5.34655336466349e-06	2.75002597325558e-05
CHST2	286.269908995724	-0.105627965432246	0.144336059965823	-0.731819653780609	0.464278651485594	0.584400746552072
CHST7	157.596119437289	-0.114150317480043	0.181418167052165	-0.629211061575877	0.529210888027454	0.643741578989831
BCL2A1	47.8306966325456	0.0144371322099595	0.36940859489669	0.0390817441970917	0.96882521586898	0.98004227617422
ITGAV	5730.27738189062	0.158872379055285	0.0548365278467688	2.89719982817341	0.00376509850460657	0.0102931517939092
ITGAE	274.035936948354	0.222265711942032	0.143586818798148	1.54795345284785	0.121633503734587	0.203116648623833
IGF2R	7403.70532097398	0.313591528036273	0.0501983202171296	6.24705222564926	4.18271237232398e-10	4.02456863435884e-09
SLC36A4	328.024399682617	0.118740056049077	0.122595941844192	0.968548014419467	0.3327707517013	0.453252699466288
CKS1B	1034.08845957034	0.198718506069217	0.075034094197946	2.6483761574436	0.00808794764329138	0.0201956640490138
SLC36A1	197.905119172214	0.736213378590483	0.160528717842713	4.586178650675	4.51432359107337e-06	2.35095023929238e-05
ARTN	191.499980666043	-0.130136050236718	0.156954952684279	-0.829129938310975	0.407030884535364	0.530117951928284
CADPS2	214.205581631867	0.0858459663913065	0.145225157071672	0.591123246979444	0.554437844713006	0.665131813093625
RLF	596.496089412827	0.854148490436894	0.0935927147707972	9.12622838784676	7.09272690364198e-20	1.87443762356204e-18
CRTAP	2218.09010112309	-0.13569243608935	0.0582245954369954	-2.33050028207036	0.0197797251304914	0.0436297082882757
ADPGK	1245.5179915611	0.301014575893794	0.0680591240578287	4.4228394070724	9.74121491246143e-06	4.77495305885279e-05
CPEB4	171.443908231705	0.176395420885804	0.165526371890893	1.06566354877926	0.286575760911133	0.403422381922786
CPEB1	124.20091535891	-0.534777895935144	0.202928960660818	-2.63529608683597	0.00840639183777022	0.0208703640928786
CPEB3	56.8036918558156	1.31931900952031	0.305969275204837	4.31193298293452	1.61833490302298e-05	7.57362580216804e-05
CPEB2	259.822715649567	0.981750407885758	0.128491961180661	7.64055898022608	2.16280692349149e-14	3.44662314779046e-13
