baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CHMP1B	780.088198618136	-0.0220809171491525	0.25863446093893	-0.0853750001797572	0.931963267550128	0.988634437013208
TCOF1	2595.54842311842	0.101812589956827	0.269823462935949	0.377330380571814	0.70592809751295	0.932810572460698
NSRP1	283.20411804648	-0.450709805531143	0.403546705631969	-1.1168714779255	0.264049281393437	0.718487002545526
SPPL3	679.012348960149	0.00889422298251888	0.149131497775712	0.0596401371620062	0.952442250414967	0.992422613958018
OPA3	288.310161940646	0.115935549212296	0.143240118799527	0.809379035593754	0.418297157203205	0.820834199689659
OPA1	2144.03691815212	0.228176372803219	0.152030248367331	1.50086167228975	0.13339134330291	0.605223145309388
ITGA2	800.940526901086	0.240758571191363	0.338713950579201	0.710802052232173	0.477206908734456	0.849250617965753
ITGA3	1422.79698126411	-0.0939627958879634	0.164411752551555	-0.571508997560861	0.56765466299203	0.88638559461624
ITGA5	385.755161594392	-0.530373914640298	0.419287188550494	-1.26494185637734	0.205892171514613	0.678307691977815
ITGA6	335.211542159271	0.42622186545281	0.374502493194256	1.1381015432432	0.255078083808354	0.712403656028942
ITGA7	20.3216605166265	-0.504439768342671	0.531412744566085	-0.949242887944965	0.342497093311877	0.777918132942764
UFSP2	119.822144181038	-1.04945167916151	0.465570215036439	-2.25412117284903	0.0241885460262009	0.408633511747227
FAM212B	67.1347752750957	-0.0792790342019985	0.402527316738273	-0.196953177847422	0.843864178685728	0.968875271957786
CHST7	64.3899605703519	-0.347788239381245	0.285717292909001	-1.217246026099	0.223510623189875	0.693509908768009
ITGAV	2031.53425829285	0.320314786539122	0.416621118364792	0.768839534098354	0.441988576374159	0.83424247707439
ITGAM	22.863288314437	-1.73895336155303	1.02919711762347	-1.6896212900095	0.0911004302005253	0.551733738870548
ITGAE	257.38649563791	-0.0764605175420215	0.208376402219427	-0.366934627566446	0.713667781247075	0.934443849877851
IGF2R	2166.6660907904	0.146428681631856	0.251072085316998	0.583213707119127	0.559749444868095	0.883736412444521
SLC36A4	81.6217948449558	-0.178040240325175	0.404333216538533	-0.440330482490072	0.65969776625217	0.918176487140366
CKS1B	533.62042437164	-0.188447643102266	0.204257586157482	-0.922598012868773	0.356216731624021	0.786172899378206
SLC36A1	490.686454712919	0.428434514637897	0.267683129414295	1.60052863837678	0.10948135896704	0.579072267050471
ARTN	44.8232749645739	-1.09972311851727	0.72617700949964	-1.51440090243977	0.129924190535411	0.602860549453578
CADPS2	619.574933630333	-0.658183439051604	0.393332401898138	-1.67335168899219	0.0942580824509318	0.556811576307001
RLF	439.562054820229	0.637406271923055	0.3170044289206	2.01071724484552	0.0443553314722479	0.483794051438488
CRTAP	1543.68950500813	0.0213120878385633	0.105315020213886	0.202365130778879	0.839631286040309	0.968165603732662
ADPGK	1033.75353035001	0.0748738635947267	0.121625612051048	0.615609346847942	0.538152380885458	0.874099318997274
CPEB4	444.830738429971	0.221675368414272	0.368050018141902	0.602296855012801	0.546976553925648	0.878358117982999
CPEB3	29.0826634350392	0.147069214966617	0.44468017837871	0.330730313869233	0.740848202510682	0.944345405622371
CPEB2	168.862259748345	0.366982719085494	0.418946263049414	0.875966087904235	0.381048469814171	0.799705203623795
SRBD1	499.872520551678	0.165282651412053	0.187797287170478	0.88011202878566	0.378798623421302	0.798192511503167
ABAT	2056.76772157746	-0.283244769657001	0.413995371490858	-0.684173759327297	0.493865450105681	0.857246003807511
UPK2	102.678269832178	-1.21035064517696	0.474074978170933	-2.55307852324692	0.0106775421001669	0.33658589816022
ANKFY1	1308.1907262584	0.295337235154903	0.170955033457023	1.72757262060464	0.0840648750232355	0.541595147946971
AAAS	911.137329257421	-0.0402819657069938	0.206055145686737	-0.195491190344909	0.84500843372214	0.968875271957786
SIDT1	749.308262272034	0.65153257333226	0.246644814709953	2.64158228543521	0.00825197593892942	0.32091449241931
SIDT2	426.321110716763	-0.29293759422331	0.257983688790801	-1.13548881945344	0.256170563832299	0.712985285662563
UFD1	1179.92561240946	-0.0508398378545382	0.186954521873283	-0.271936925328809	0.785670518409352	0.957737668967372
AAGAB	1495.73994778785	-0.0190267834299865	0.14086888495595	-0.135067324739144	0.892558644479263	0.980556977987342
C4orf19	188.999659255848	-0.223905247416876	0.601672504710182	-0.372138074557234	0.709790049409738	0.93363701795651
SLC7A6OS	230.448554742038	0.0020021556764333	0.156210210259906	0.012817060249148	0.989773745502883	0.998673090006083
ABCE1	1967.61298894708	-0.191447737422308	0.159189927809792	-1.20263725259716	0.229116725264289	0.698595754230714
MKRN2OS	28.0517872102532	-0.0954913111894275	0.457527921541326	-0.208711439659759	0.834673509252195	0.967283047625485
MSL3P1	331.648430513461	0.0119108899103657	0.186682366523139	0.0638029725688598	0.949127111316193	0.9920710805749
NCBP2-AS2	531.369425158203	-0.32948080344233	0.16681841946919	-1.97508647121059	0.048258335850851	0.494254819739348
ST20-AS1	55.5968822188959	0.00708328709669482	0.404039583023777	0.0175311711879427	0.98601286565224	0.998152326675767
ZNF117	300.408859415892	0.566298121965195	0.358948212995686	1.57765967753126	0.114643814426419	0.587525134613523
ZNF112	34.2424605053043	0.556202672825543	0.586051019720206	0.949068688748441	0.342585678063922	0.777918132942764
PRKAR2A	1083.77680450448	0.0456127728149625	0.131054729676768	0.34804369844157	0.727807366008353	0.938697325700517
PRKAR2B	405.245860196096	0.0908979112605677	0.436558165485158	0.208214891959587	0.835061181299578	0.967283047625485
MAGT1	1218.5086162835	0.0744804621594746	0.147811235355865	0.50388904456524	0.614339349564105	0.905173585476239
TMBIM6	14434.0687263558	-0.238773360434767	0.159239290805388	-1.4994625963675	0.133753665106398	0.605223145309388
ITGA2B	31.0793309304661	-0.267910265906533	0.85940620825113	-0.311738806788147	0.755239032999081	0.948487961374038
PHACTR4	313.99327587579	0.199132078690812	0.172437094182779	1.15480998815566	0.248168245985701	0.712211020068054
NLGN2	428.568541606799	0.0633043383658394	0.240860779271038	0.262825432008603	0.792685132548973	0.958935466341166
NUP107	1948.48962950605	0.0105495381703723	0.171054181363001	0.0616736643694476	0.950822712822468	0.992258228221051
VMP1	6132.44441924996	-0.211700466198645	0.116392489643978	-1.81884988323727	0.068934335602241	0.511676499248965
NR1D1	81.6227933758576	-0.407339531466073	0.27715643712155	-1.46970979890115	0.141640367689752	0.615336652659733
NR1D2	645.492617536795	0.26573487710941	0.242274457912628	1.09683405918606	0.272713938499471	0.724964318405409
PLPBP	426.827577495852	0.0448719655059748	0.157434851126409	0.28501926469855	0.775629382708542	0.955718705864829
UFSP1	106.642626081784	-0.627419944900135	0.260511137970577	-2.40841888676176	0.0160217861315373	0.371406697451848
OGFR	1721.01088389663	-0.246938584791302	0.316384130386609	-0.780502436988711	0.435095193660752	0.829449464673786
PTCH1	38.7095756683521	0.349125342605623	0.545791081288654	0.639668463950183	0.522388161968289	0.86779316310019
TIMM44	549.508517840683	-0.232007751211316	0.170948913906954	-1.35717592998336	0.174725316860852	0.649105932274849
RAD9A	224.728356824052	-0.0713760461367881	0.202037168259113	-0.353281758756627	0.723877219396431	0.937760277476345
ERGIC2	765.116889281821	-0.31531684475955	0.182527028560319	-1.72750768610331	0.0840765260026567	0.541595147946971
ERGIC3	2923.94677502045	-0.218202357896729	0.157751006918804	-1.38320738585865	0.166601285708761	0.643882610370315
ERGIC1	4824.67979359662	-0.160372747362805	0.382929833567265	-0.418804525802594	0.675358996973566	0.921308961501342
B3GAT3	701.928284090428	-0.483193515427037	0.185255319709296	-2.60825716737996	0.00910045557021955	0.329240481829666
CALM2	7835.5337676608	-0.1612918514867	0.180578212543561	-0.893196633274855	0.371751880735039	0.794460398142632
CALM3	3536.77146770565	0.0709124148067911	0.173343104083377	0.409087025306081	0.682475797564778	0.924041076082175
SPG21	1393.25563614012	-0.0990984645708051	0.219721630789087	-0.451018246200488	0.65197639846915	0.916741451481607
CALM1	7702.69786340306	0.162606736780465	0.248788228565453	0.653594978018364	0.513372780559362	0.86493864920095
DLGAP4	551.726668177739	0.164316885572392	0.221066498661804	0.743291663671621	0.457305117544626	0.841851829320128
DLGAP5	935.902226497886	0.37957768555054	0.219071136819912	1.73266862563721	0.0831545840458607	0.539884925020006
SRSF10	40.0020696080269	0.244668963465765	0.324504368119206	0.753977411410026	0.450862785539053	0.838755154334775
FBXL14	251.619131980133	-0.00592197524205597	0.297629532268902	-0.019897135868579	0.984125429939681	0.997615898373202
OIP5	203.910378156319	0.0223031231541287	0.274938689631529	0.0811203515373524	0.935346240838581	0.990123940008377
FBXL19	1108.03761985024	-0.106427392025631	0.198464174915133	-0.536254928987265	0.591782375532799	0.896497009861989
PTPN18	590.830724740885	0.0216542177662463	0.200454485843247	0.108025608282868	0.913975378600398	0.98418128659976
LRRFIP2	442.32133098408	0.120661269447247	0.120509177567344	1.0012620771544	0.316700121836257	0.759752042200213
PTPN13	629.008285807756	0.460707226396921	0.196030395263477	2.35018261212861	0.0187642027400573	0.384875962773011
PTPN12	1407.60182883101	-0.0425785932205939	0.146413155496843	-0.290811253101583	0.771195678406911	0.954195389530512
PTPN11	3304.32649269137	0.267849546426007	0.226880966608899	1.18057301337106	0.237772389501445	0.702339188249394
PTPN14	174.730786790567	0.386092235044192	0.373861718712854	1.03271401087398	0.301737754797922	0.746013228101192
LYAR	888.951281977842	-0.212911311335767	0.256898260549892	-0.828776772875105	0.407230733802256	0.816196446998714
TFIP11	766.424876850229	0.024756302789065	0.110555531638388	0.2239264053294	0.822814568914526	0.965063868853999
C2orf81	140.709865115999	-0.202167482533993	0.348617610410942	-0.57991184752739	0.561974065808305	0.884393179958995
TRAPPC6B	381.135425070622	0.482172018585824	0.220504736822298	2.18667419818015	0.0287663164792053	0.433107592813835
HLA-DQB1	102.357746536999	-1.06845829478668	0.466098483122418	-2.29234450116426	0.0218857718214661	0.404995972785397
MSMB	87.9812163302939	-1.12526198830089	1.51269983314636	-0.743876586513784	0.456951141262859	0.841851829320128
ATP2B1-AS1	55.3772417064081	0.226153531528934	0.482053454939499	0.46914616877358	0.63896516018321	0.91220888215568
CDK7	676.626922006425	-0.163878666091032	0.293638413268194	-0.558096824822961	0.576778268682361	0.889967431976402
CDK9	726.304200151932	0.170173452059304	0.157345137327736	1.08152978191406	0.27946152028802	0.729326952663196
CAMKK2	1154.78113982799	0.0418208551900594	0.163885914115994	0.255182731326499	0.79858196805914	0.95969610161539
CAMKK1	55.1366456515743	0.110436997150703	0.545545386575612	0.202434114316164	0.839577361065257	0.968165603732662
MYDGF	1103.75388797423	-0.370436856127749	0.187489150121295	-1.97577756306483	0.0481799756918398	0.494254819739348
RPL36AL	1837.33751655198	-0.206179193116835	0.222708213189574	-0.925781722029853	0.354559427848719	0.785845382213994
CHMP7	963.070300026554	0.248630100974346	0.228934670475696	1.08603078973458	0.277465370393411	0.72792009730046
CHMP6	303.649660248008	-0.632144548584198	0.272195510466528	-2.32239153210403	0.020211862903626	0.395205846044874
CHMP5	938.160316319383	-0.178374680817206	0.154764253623032	-1.1525573680062	0.249092110130463	0.712211020068054
HOXA10	66.7996788940043	-0.148518970504016	0.583811434906374	-0.254395446241704	0.799190068646842	0.95969610161539
GALNTL6	20.8933548581252	-0.745648352174365	0.673957940962797	-1.10637223312356	0.268565438732564	0.722933063956377
TDH	32.5819008188695	0.533945587198292	0.496856949613701	1.0746465106575	0.28253302002013	0.730596711985196
TDG	1212.99946520601	-0.0496689614480372	0.162308455345016	-0.306015859386111	0.759592570626124	0.949302615821354
SCAMP1-AS1	65.0313749868934	0.0337898647840214	0.373697529962352	0.0904203589127964	0.92795317888616	0.987679946027035
ENTPD6	891.071187217578	-0.303042315413879	0.129322196896394	-2.34331246055664	0.0191133685674644	0.386121190109906
TBX2	2970.16491096958	-0.0244577188713443	0.1523664332175	-0.160519074673301	0.872472197032545	0.97519305375128
LRRC27	73.2865049950034	-0.455518471225548	0.363925977388982	-1.25167891144706	0.2106868874421	0.683574276547787
LRRC26	84.0756197339901	-0.961933162407349	0.414273478859867	-2.32197621014676	0.0202342166456042	0.395205846044874
LRRC24	47.8410224497899	-0.538163112674639	0.341331247402197	-1.5766593793287	0.114873921803624	0.587525134613523
KIAA1522	2020.68041083181	-0.0492196486325394	0.167671046277926	-0.293548884706992	0.769102639704966	0.953239732780634
MPDU1	1127.2995460203	-0.336140411889986	0.169431464211028	-1.98393145839383	0.0472634813985233	0.491835367025236
LRRC20	75.8044947500399	0.0675709057189777	0.408018091764469	0.165607621531604	0.868465749006742	0.974689710708212
LRRC28	154.350588981574	0.163781894551176	0.281633863474267	0.581541908812899	0.560875281567391	0.884393179958995
GCNT1	252.753175739769	0.21251844880929	0.400502533212253	0.530629474687148	0.595675566502028	0.897800391557143
LPCAT4	193.531283860575	0.203332846781049	0.231256804127378	0.879251304835345	0.379265032248332	0.798602838319464
LPCAT2	104.027383900944	-0.112928812364643	0.6089834892848	-0.185438216883792	0.852885335451925	0.971885509072822
LPCAT3	311.211398723155	-0.313563071565102	0.257291676822419	-1.21870662680441	0.222955561868514	0.693509908768009
LPCAT1	3893.5640121925	-0.478524447830204	0.277869779482674	-1.72211763625789	0.085048210918884	0.542591895813477
TAGLN	47.8623223828781	1.05861287297832	0.78434985076068	1.3496692476599	0.177122100884446	0.652012147236141
