baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CHMP1B	780.088198618136	0.00776620326630156	0.289747600061423	0.0268033394052452	0.978616589715964	0.997320246293646
TCOF1	2595.54842311842	0.873204816918609	0.302320886936089	2.88833770556914	0.00387283827386837	0.124078562463608
NSRP1	283.20411804648	0.0663731835184682	0.453364313339972	0.14640142941444	0.883604498959887	0.989029598705534
SPPL3	679.012348960149	-0.268384804341576	0.166839229272475	-1.60864327599632	0.107694365706	0.638426607107778
OPA3	288.310161940646	-0.11810654771681	0.160766875708694	-0.734644790453081	0.462555852145975	0.911773966392686
OPA1	2144.03691815212	0.349736669498237	0.170497633096404	2.05126993933392	0.0402406662103224	0.424901843458673
ITGA2	800.940526901086	-0.138453318735238	0.378649599559106	-0.365650244702361	0.714626077656008	0.97309370805199
ITGA3	1422.79698126411	-0.0865314752584694	0.184249640044184	-0.469642574268904	0.638610402056175	0.957340695985733
ITGA5	385.755161594392	-0.345067092044132	0.469457315687409	-0.735034007381189	0.462318783198287	0.911773966392686
ITGA6	335.211542159271	-0.51429235810057	0.417152197338939	-1.23286503434789	0.217626122684213	0.790053310406901
ITGA7	20.3216605166265	-0.803905888435984	0.591798352774932	-1.3584118385367	0.174333039856384	0.752775572027676
UFSP2	119.822144181038	-0.19348002886675	0.525660681792389	-0.368070193507768	0.712820895306821	0.972380425674847
FAM212B	67.1347752750957	-0.906847812988201	0.444705084648915	-2.0392117029742	0.0414289034105645	0.431844899203384
CHST7	64.3899605703519	-0.517379202535761	0.320655637270142	-1.61350415336652	0.106635021639301	0.63794641479815
ITGAV	2031.53425829285	-0.126819987856473	0.465751965409996	-0.272290827038882	0.785398408821645	0.982000183521193
ITGAM	22.863288314437	-1.48732872354491	1.15295199206776	-1.29001791382264	0.197044438411636	0.770161797698799
ITGAE	257.38649563791	0.0314227642345802	0.235420776714325	0.133474898320936	0.893817814865008	0.990038632179
IGF2R	2166.6660907904	-0.261130310783849	0.280661683605239	-0.93040955013702	0.352159075747353	0.87117937532964
SLC36A4	81.6217948449558	0.0228839429111309	0.45643945484111	0.0501357686510623	0.960014196305334	0.99447051523598
CKS1B	533.62042437164	-0.0846809278267632	0.229525579694609	-0.368938956343925	0.712173225517876	0.972380425674847
SLC36A1	490.686454712919	0.354442173801553	0.30012032809532	1.1810002209813	0.237602635517708	0.805110025480465
ARTN	44.8232749645739	0.363374436547691	0.839934346949172	0.432622428011842	0.665289093064827	0.9645353929878
CADPS2	619.574933630333	-0.379954105320474	0.440335036598476	-0.862875024107926	0.388206184106736	0.888732148116628
RLF	439.562054820229	0.664924325644719	0.355655355989191	1.86957489729166	0.0615428739046839	0.516503291485562
CRTAP	1543.68950500813	-0.0361426540868078	0.118289873595129	-0.30554309501178	0.759952553049905	0.978334105212319
ADPGK	1033.75353035001	0.343207444867617	0.137744012867542	2.49163239637611	0.0127157566109728	0.24430043501931
CPEB4	444.830738429971	-0.287181525870983	0.411169878703387	-0.698449815381909	0.484895931995179	0.917298319309001
CPEB3	29.0826634350392	-0.537814664415022	0.488399138414203	-1.10117856915405	0.270818947018138	0.823882074617367
CPEB2	168.862259748345	-0.712763585721664	0.465136211822235	-1.53237603868621	0.125429666860615	0.674966600891127
SRBD1	499.872520551678	0.175447177420747	0.211236483643183	0.830572325361701	0.406215274074885	0.895453931450064
ABAT	2056.76772157746	-0.570008473709681	0.462856082428442	-1.23150261031258	0.21813494098124	0.790760465412568
UPK2	102.678269832178	-0.329381606069403	0.536249203824403	-0.6142323451864	0.539061802200923	0.931240343883728
ANKFY1	1308.1907262584	0.219846528071423	0.19158700173404	1.14750231530118	0.251174076779161	0.8116925339441
AAAS	911.137329257421	-0.0610383549048777	0.230888249636167	-0.264363193021133	0.791500070606424	0.983507951001184
SIDT1	749.308262272034	-0.0610539933395276	0.275118910498486	-0.221918563245632	0.824377279433851	0.985137287332319
SIDT2	426.321110716763	-0.437737382745232	0.288776427034922	-1.5158348873549	0.129561108013212	0.680687894557348
UFD1	1179.92561240946	0.0834383822566319	0.20966793026699	0.397954909701174	0.690663423379698	0.969919419895614
AAGAB	1495.73994778785	-0.126836521217377	0.157823049958288	-0.803662844248035	0.421591718092134	0.899814017303924
C4orf19	188.999659255848	0.151016196724844	0.674549745948409	0.223877034469144	0.822852986028394	0.985137287332319
SLC7A6OS	230.448554742038	0.052882942653973	0.177672380875075	0.297643012343917	0.765975642480379	0.97926950139005
ABCE1	1967.61298894708	0.360652688740961	0.17898734904034	2.01496189912102	0.0439086413928034	0.441850655333245
MKRN2OS	28.0517872102532	-0.46795897802417	0.509604463803094	-0.918278804961537	0.358472920669594	0.875212441859727
MSL3P1	331.648430513461	0.167208520974051	0.211309563140995	0.791296515352131	0.428770981407845	0.90120815671879
NCBP2-AS2	531.369425158203	0.197423733524009	0.189517953304252	1.04171520471765	0.2975437375298	0.841825434123003
ST20-AS1	55.5968822188959	-0.641374067539182	0.447063218673009	-1.43463841521773	0.151390161800032	0.720374553802014
ZNF117	300.408859415892	0.0930092439527656	0.4009694034583	0.23196095051287	0.816568343607758	0.984520553348017
ZNF112	34.2424605053043	-0.22646318608674	0.64845913632434	-0.349232778753648	0.726914559639469	0.973859996284898
PRKAR2A	1083.77680450448	0.168908840573436	0.147575740224172	1.14455695981506	0.25239272997818	0.8116925339441
PRKAR2B	405.245860196096	-0.00515908517965703	0.488532335707118	-0.0105603760541042	0.991574195600233	0.998571412171324
MAGT1	1218.5086162835	0.114553445067692	0.165973718678802	0.690190266143157	0.490074543805794	0.917298319309001
TMBIM6	14434.0687263558	-0.282610768527643	0.178068129647156	-1.58709348544087	0.112491473130529	0.647417885985685
ITGA2B	31.0793309304661	-0.209099958258598	0.965457384421259	-0.216581240801159	0.828534706420186	0.98539530089903
PHACTR4	313.99327587579	-0.199910459205526	0.192386437873192	-1.03910889673675	0.298754093741635	0.842400771059753
NLGN2	428.568541606799	-0.191673427084695	0.269500081938922	-0.711218437136262	0.476948885163136	0.916300769398259
NUP107	1948.48962950605	0.231898639150811	0.191822238806541	1.20892468252697	0.226691782516037	0.798954768919294
VMP1	6132.44441924996	-0.316062168321835	0.130210777748197	-2.42731188452801	0.0152111730505365	0.270743736711217
NR1D1	81.6227933758576	-0.179715573340479	0.316721060525772	-0.567425396473926	0.57042519940433	0.937957717665434
NR1D2	645.492617536795	0.0435245507502211	0.271142703939937	0.160522669862666	0.872469365206253	0.987870832808261
PLPBP	426.827577495852	0.0125815357044645	0.17749010509502	0.0708858428909539	0.943488610766439	0.992680333127652
UFSP1	106.642626081784	0.434083034135485	0.306363819684203	1.41688739415422	0.156515852647937	0.727134602054879
OGFR	1721.01088389663	0.0997007326428135	0.354124647317697	0.281541353865067	0.778295214418718	0.98137704204401
PTCH1	38.7095756683521	0.322681864606813	0.614862926441529	0.524802928799609	0.599720195326043	0.944103635914261
TIMM44	549.508517840683	0.123922726523332	0.193393454514478	0.64078035543884	0.521665397891452	0.926626909386554
RAD9A	224.728356824052	-0.164471096506743	0.227309934508858	-0.723554370213122	0.469339363332362	0.914548245558246
ERGIC2	765.116889281821	-0.148616457935826	0.205096318467377	-0.724617872453252	0.468686491385434	0.914548245558246
ERGIC3	2923.94677502045	-0.0846644109856314	0.176663142325941	-0.47924207546035	0.631766424681769	0.954672872562427
ERGIC1	4824.67979359662	0.157539047093559	0.428243819546043	0.367872319232901	0.712968441171848	0.972380425674847
B3GAT3	701.928284090428	-0.246471237386765	0.208253065212391	-1.18351793350747	0.23660394341055	0.804526599558183
CALM2	7835.5337676608	-0.0578875436846956	0.20198813871009	-0.28658882672205	0.774427170710866	0.98137704204401
CALM3	3536.77146770565	-0.000441460274422882	0.193945856294119	-0.00227620369343395	0.99818385378404	0.999621265685053
SPG21	1393.25563614012	-0.0534803773447202	0.246059351796357	-0.217347469032518	0.827937566214677	0.98539530089903
CALM1	7702.69786340306	0.0747420579863731	0.278199618861443	0.268663409002003	0.788188712162124	0.982874416969164
DLGAP4	551.726668177739	-0.351989129540782	0.246688773294356	-1.42685508075707	0.153621670719373	0.724857220085953
DLGAP5	935.902226497886	0.0513527523296093	0.244982212047523	0.209618289835866	0.833965603550925	0.98539530089903
SRSF10	40.0020696080269	0.351347951136077	0.375742298779842	0.935076919146498	0.349748660365817	0.87117937532964
FBXL14	251.619131980133	0.189814685785127	0.335093638820887	0.56645266813491	0.571086100057819	0.938036774210014
OIP5	203.910378156319	0.300536875863592	0.310996824863285	0.966366380093137	0.333860880886005	0.862709885401071
FBXL19	1108.03761985024	0.0413067476062124	0.22257718913234	0.185583921547559	0.852771063266945	0.987217761730945
PTPN18	590.830724740885	0.308757924780315	0.225869585984143	1.3669743247415	0.171633353396696	0.748747616825485
LRRFIP2	442.32133098408	-0.0154374361268329	0.135840376756614	-0.113643943689086	0.909520050956348	0.990486128608607
PTPN13	629.008285807756	-0.204757987284902	0.218265249964983	-0.938115377128296	0.348185120224393	0.869575327867122
PTPN12	1407.60182883101	-0.2282115847818	0.163890996980142	-1.39245955535588	0.163783280833115	0.735765168924466
PTPN11	3304.32649269137	0.18966245556989	0.253790864177267	0.74731789966015	0.454871690233021	0.910169991265833
PTPN14	174.730786790567	-0.119754890240985	0.417228898169921	-0.287024438542637	0.774093607913739	0.98137704204401
LYAR	888.951281977842	0.786785827654172	0.28948794582503	2.7178535030599	0.00657069235091807	0.168686027646495
TFIP11	766.424876850229	-0.0157888592997274	0.124630023539457	-0.126685840629154	0.899189053075819	0.990038632179
C2orf81	140.709865115999	0.35437564106435	0.395872311840492	0.895176627576665	0.370692676699239	0.88123827186204
TRAPPC6B	381.135425070622	0.239392838878772	0.247073042832901	0.968915249247471	0.332587476352271	0.862134350151789
HLA-DQB1	102.357746536999	-0.685940343299462	0.524312315923174	-1.30826669995669	0.190782865682516	0.76559466888464
MSMB	87.9812163302939	-1.20362879439086	1.69128806688992	-0.711663978451753	0.476672878687082	0.916300769398259
ATP2B1-AS1	55.3772417064081	-0.128490877296814	0.538747422749769	-0.238499289037888	0.811493866711024	0.984520553348017
CDK7	676.626922006425	-0.123310249294658	0.328878385656214	-0.374941785999757	0.707703761472144	0.972380425674847
CDK9	726.304200151932	-0.159980340451651	0.175920725648114	-0.909388816253818	0.36314492310549	0.876407636673716
CAMKK2	1154.78113982799	0.0726645510007367	0.1838717244608	0.395191545702984	0.692701531517676	0.969919419895614
CAMKK1	55.1366456515743	0.250965836500558	0.616152008129719	0.407311561415413	0.683779172418613	0.968590878904854
MYDGF	1103.75388797423	-0.273841169283117	0.210141165347743	-1.30312958353478	0.19253052527713	0.765930689429803
RPL36AL	1837.33751655198	-0.0995717813768448	0.249309554130435	-0.399390154637838	0.689605747215673	0.969728023398137
CHMP7	963.070300026554	0.333407172938714	0.256700449341616	1.29881803399189	0.194006384169795	0.767477012431921
CHMP6	303.649660248008	-0.394595017893357	0.305893800916325	-1.28997389522547	0.197059721947139	0.770161797698799
CHMP5	938.160316319383	-0.223037116372785	0.173556002197096	-1.28510171673289	0.198756741762972	0.77078598195777
HOXA10	66.7996788940043	-0.292908610504759	0.654000688470276	-0.4478720216486	0.654245561451058	0.962419531032346
GALNTL6	20.8933548581252	-0.666081928824301	0.759639615612848	-0.8768393790086	0.380573886722199	0.88492262400915
TDH	32.5819008188695	0.942719622362875	0.576652963936453	1.63481275796713	0.102088305467174	0.628786954260362
TDG	1212.99946520601	-0.00253785538115677	0.182071434636835	-0.0139387893890047	0.988878815273614	0.997892171351479
SCAMP1-AS1	65.0313749868934	-0.186813383375332	0.419001597999386	-0.445853629836529	0.655702979456514	0.963224350390234
ENTPD6	891.071187217578	-0.0395470836606166	0.146077329188102	-0.270727044918054	0.786600974482707	0.982000183521193
TBX2	2970.16491096958	-0.313137932322152	0.17036606545852	-1.83802995907301	0.0660579908241753	0.530078105403759
LRRC27	73.2865049950034	-0.374879885932071	0.410494039267949	-0.913240753996355	0.361115934276409	0.875212441859727
LRRC26	84.0756197339901	-0.786215528410351	0.465487732666308	-1.6890144964872	0.0912166519239836	0.602950701566571
LRRC24	47.8410224497899	-0.358917975387713	0.388687899959726	-0.923409181054782	0.355794008996556	0.873245091847358
KIAA1522	2020.68041083181	-0.253591324118802	0.18755672755038	-1.35207799491321	0.176350365939232	0.756203477191739
MPDU1	1127.2995460203	-0.0145934754000609	0.190436184129506	-0.0766318410903288	0.9389164278964	0.992680333127652
LRRC20	75.8044947500399	-0.594044332237857	0.452520611065908	-1.31274535946239	0.189268767497701	0.764028142406479
LRRC28	154.350588981574	0.0981733633077272	0.31707056985127	0.309626224073013	0.756845211733861	0.978334105212319
GCNT1	252.753175739769	-0.658620937031941	0.446222177329149	-1.47599328427399	0.139945695097326	0.701697860534907
LPCAT4	193.531283860575	0.0620350055329118	0.259972259569886	0.238621634614194	0.811398987679011	0.984520553348017
LPCAT2	104.027383900944	0.158440267348344	0.68414339018705	0.231589268596201	0.81685704335668	0.984520553348017
LPCAT3	311.211398723155	-0.166181398598577	0.289382302328652	-0.574262479983468	0.565790194826799	0.93505372815208
LPCAT1	3893.5640121925	0.30190002418236	0.311028571431873	0.970650454369873	0.331722371979671	0.861568473162258
TAGLN	47.8623223828781	0.600879862671218	0.876608217233245	0.685459993254134	0.493053697740507	0.917298319309001
CCDC170	777.240384835061	0.0122840703357925	0.339410953282176	0.0361923214822708	0.971129008549511	0.995999355554554
