baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CHMP1B	780.088198618136	0.0298471204154541	0.290053238917825	0.10290221383775	0.918040580641928	0.989038515623987
TCOF1	2595.54842311842	0.771392226961782	0.302426626261005	2.55067563494242	0.0107514336453855	0.213570977110146
NSRP1	283.20411804648	0.517082989049611	0.453208718380165	1.14093786831317	0.253895779435732	0.755921861365697
SPPL3	679.012348960149	-0.277279027324094	0.167543418889399	-1.65496818175315	0.0979309523099025	0.578717027362203
OPA3	288.310161940646	-0.234042096929106	0.162869172062347	-1.43699445368037	0.150719569503725	0.65365041817966
OPA1	2144.03691815212	0.121560296695018	0.170816734324036	0.71164161506811	0.476686730398018	0.876217315401813
ITGA2	800.940526901086	-0.379211889926601	0.379088046311526	-1.00032668826221	0.317152435696293	0.801506467703222
ITGA3	1422.79698126411	0.00743132062949406	0.184449692304472	0.0402891462525573	0.967862606790359	0.995995329518086
ITGA5	385.755161594392	0.185306822596166	0.469276215360353	0.394877934424761	0.692932975223488	0.941680510587265
ITGA6	335.211542159271	-0.94051422355338	0.41855430642941	-2.24705422714842	0.0246365617215012	0.318954875833675
ITGA7	20.3216605166265	-0.299466120093313	0.588558331915184	-0.508812982255885	0.610883318719702	0.918274029556027
UFSP2	119.822144181038	0.855971650294764	0.523637097355097	1.63466579166811	0.102119127374152	0.587519908654611
FAM212B	67.1347752750957	-0.827568778786203	0.446722829328178	-1.85253299015583	0.0639493247975918	0.493405651594694
CHST7	64.3899605703519	-0.169590963154515	0.32064030932192	-0.52891342175025	0.596865510820722	0.914597365437162
ITGAV	2031.53425829285	-0.447134774395594	0.465940575180628	-0.959639057453318	0.337236904704774	0.814344658988559
ITGAM	22.863288314437	0.251624638008119	1.13675448482974	0.221353547635933	0.824817158888523	0.970459830718038
ITGAE	257.38649563791	0.107883281776602	0.236306374263757	0.456539871650632	0.648001806061151	0.928853890773919
