Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HIFtarg	DPM_1A2A	speckleChangingPT2399	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII	SONdmso1	SONdmso2	SONpt2399-1	SONpt2399-2	RTTA_DPMfc	RTTA_DPMpadj	DPMup	RTTA_1A2A	RTTA_1A2Apadj	1A2Aup
CHMP1B	780.088198618136	-0.0220809171491525	0.25863446093893	-0.0853750001797572	0.931963267550128	0.988634437013208	No	ns	No	18.0075	21.68805	20.9164	8.61690548954e-06	0.00329204060269	0.0103278102537	59.0603	98.99	112.226	212.662	0.0298471204155	0.918040580642	No	0.0077662032663	0.978616589716	No
TCOF1	2595.54842311842	0.101812589956827	0.269823462935949	0.377330380571814	0.70592809751295	0.932810572460698	Yes	ns	No	5.2162	2.7296	3.4884	1.33443420001e-14	7.71992465439e-08	7.98791495004e-13	815.5	786.47	688.147	768.563	0.771392226962	0.0107514336454	Yes	0.873204816919	0.00387283827387	Yes
NSRP1	283.20411804648	-0.450709805531143	0.403546705631969	-1.1168714779255	0.264049281393437	0.718487002545526	No	ns	No	7.5065	7.76125	8.80445	0.422110515519	4.86567163454e-06	1.32236180218e-08	424.767	343.351	299.083	538.55	0.51708298905	0.253895779436	No	0.0663731835185	0.88360449896	No
SPPL3	679.012348960149	0.00889422298251888	0.149131497775712	0.0596401371620062	0.952442250414967	0.992422613958018	No	ns	Yes	11.882	10.39845	10.25175	3.32105991594e-07	0.70856334657	2.53300075575e-08	599.501	461.471	484.828	406.971	-0.277279027324	0.0979309523099	No	-0.268384804342	0.107694365706	No
OPA3	288.310161940646	0.115935549212296	0.143240118799527	0.809379035593754	0.418297157203205	0.820834199689659	No	ns	No	4.5153	5.77285	4.80285	2.71383855411e-07	7.51525066329e-05	0.174558025612	1026.94	988.12	870.556	987.119	-0.234042096929	0.150719569504	No	-0.118106547717	0.462555852146	No
OPA1	2144.03691815212	0.228176372803219	0.152030248367331	1.50086167228975	0.13339134330291	0.605223145309388	Yes	ns	No	6.3991	11.1538	9.49265	1.15973662003e-42	0.32043620936	6.18545087081e-21	1.00102	1.00102	1.00102	1.00102	0.121560296695	0.476686730398	No	0.349736669498	0.0402406662103	Yes
ITGA2	800.940526901086	0.240758571191363	0.338713950579201	0.710802052232173	0.477206908734456	0.849250617965753	No	ns	No	3.887	12.11475	8.9536	8.25851274749e-37	3.36158241449e-05	1.4876826518e-25	1.00102	1.55715	1.00102	1.00102	-0.379211889927	0.317152435696	No	-0.138453318735	0.714626077656	No
ITGA3	1422.79698126411	-0.0939627958879634	0.164411752551555	-0.571508997560861	0.56765466299203	0.88638559461624	Yes	ns	Yes	44.0769	25.6918	28.11	2.69839795475e-06	0.0403837034303	1.8693149706e-05	1464.38	1490.86	1425.68	1717.98	0.00743132062949	0.96786260679	No	-0.0865314752585	0.638610402056	No
ITGA5	385.755161594392	-0.530373914640298	0.419287188550494	-1.26494185637734	0.205892171514613	0.678307691977815	Yes	ns	No	30.4588	6.2954	28.5927	1.72271723028e-17	8.53224496469e-18	0.0393989010848	792.254	650.22	634.982	650.998	0.185306822596	0.692932975223	No	-0.345067092044	0.462318783198	No
ITGA6	335.211542159271	0.42622186545281	0.374502493194256	1.1381015432432	0.255078083808354	0.712403656028942	No	ns	No	22.3878	27.921	48.84865	0.0363721968621	1.52052011429e-09	3.05998248286e-19	66.4012	66.0675	71.7399	143.369	-0.940514223553	0.0246365617215	No	-0.514292358101	0.217626122684	No
