GeneSymbol	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII	SONdmso1	SONdmso2	SONpt2399-1	SONpt2399-2
RNF14	14.9741	17.2236	17.15255	0.722185701575	0.185906147608	0.13414044295	378.831	301.085	265.605	227.566
UBE2Q1	24.9618	18.30765	20.29885	1.11725639877e-17	0.0690559196391	3.2286158703e-16	1109.36	820.616	799.817	941.962
RNF17	0.0044	0.00115	0.00325	0.587219000915	0.352810636656	0.212255351699	1.00102	2.33572	1.00102	2.00204
RNF10	32.8283	41.6702	25.4495	1.56925969972e-11	3.74119822407e-37	2.30746323956e-17	846.976	795.813	699.158	766.116
RNF11	36.2658	60.0573	48.405	3.0126689509e-22	0.00101477743802	1.77586618412e-09	91.9828	97.6553	61.0624	172.287
RNF13	22.1667	24.67285	28.34845	0.922410926584	4.08179291939e-05	0.0037949403691	25.6929	1.00102	1.00102	1.00102
REM1	1.3489	0.6184	0.9073	6.23854793639e-06	0.000133470100218	0.00130236234971	141.812	107.666	105.552	174.178
REM2	0.235	0.14615	0.08745	0.000971322813712	9.3596545533e-08	1.5228705468e-10	597.499	558.237	489.611	544.556
SYNGR2	58.9692	32.088	31.9761	1.66258923253e-16	0.562924904606	1.67666518239e-23	1152.07	910.597	831.738	1032.61
C16orf13	73.7491	14.42085	22.76975	9.73442612456e-23	7.03273804162e-08	8.33019747336e-28	2458.07	2281.44	2274.32	2543.26
FGFR1OP2	7.7511	7.708	8.6776	0.935996829246	0.000650028881591	5.26048077396e-05	87.8675	125.461	17.5735	104.106
MZT2A	16.9824	3.3477	5.3024	1.26288029676e-12	7.16313448962e-05	4.57978577873e-15	290.074	194.421	152.378	161.832
MZT2B	24.1006	6.8364	7.17625	0.000358117112963	0.90357722938	6.76661749915e-06	294.857	237.91	218.668	334.675
ATRX	2.8764	5.75585	5.94075	4.80328490691e-55	0.0851189175295	8.57242826285e-42	10.0102	59.6164	21.6888	16.1276
PMM2	1.1843	0.6858	1.26535	1.48238585276e-14	7.9553756614e-13	0.0154811082356	324.776	370.489	311.874	305.534
PMM1	9.9923	9.08385	7.06375	0.0361863007283	0.00274451796881	1.18767831239e-07	1149.06	1112.8	958.757	1100.9
ASS1	53.4764	188.56905	34.39105	9.57375357183e-18	6.4727618725e-17	2.14407749754e-06	835.409	827.067	815.277	759.554
FHIT	1.6811	2.65195	1.05185	0.00555751768019	6.39603224902e-23	5.2849355594e-05	1.00102	1.00102	1.00102	1.00102
ZNF709	0.093	0.0561	0.0404	3.04057111297e-07	0.00682478715887	7.60795975311e-15	858.099	819.949	699.047	758.441
ZNF708	1.4851	1.66145	2.1535	0.414367843904	2.16725689605e-05	7.59077032517e-10	56.1685	56.1685	47.8266	126.018
ZNF879	1.1618	1.2405	1.3607	0.0177124167761	0.0673238365908	3.94909454007e-05	215.553	338.568	306.09	255.817
ZNF878	0.1247	0.24735	0.1237	1.96781095435e-09	6.10255294895e-06	0.168083845851	774.013	805.934	701.161	794.589
EN1	0.1176	0.0059	0.0577	0.0172986334337	0.0008030808585	0.0973406384373	1.00102	1.00102	2.66939	27.9174
CAMK1	0.9734	0.7575	1.03305	0.00015521263173	1.99012210829e-05	0.57558714436	547.559	434.444	439.338	468.701
STYXL1	13.993	11.3846	8.3687	7.63712442089e-05	0.000818643214025	3.00412555823e-11	864.883	864.661	836.41	879.231
SPR	44.7113	42.25185	23.01445	0.00868860694043	9.06920685275e-22	1.41891115783e-21	180.851	189.304	243.36	243.137
ZNF700	3.349	2.3863	3.76095	1.27563497545e-06	1.67669371072e-09	0.43144335283	881.789	759.331	737.086	777.35
ZNF707	1.5633	1.2113	1.1182	3.80055743579e-07	0.0165030747297	3.56212967951e-14	2320.81	2267.76	2042.09	2400.79
CAMK4	0.3593	0.30305	0.5403	0.869221436004	8.75487493009e-05	1.46686287358e-06	1.00102	1.00102	1.00102	1.00102
ZNF704	3.495	6.61235	6.93475	9.52053222982e-20	0.569234128961	4.05408908412e-20	1.00102	1.00102	1.00102	1.00102
ZC3H10	0.9414	0.8751	0.9249	0.0209004481144	0.212379971635	0.279812422783	1466.83	1380.41	1246.72	1464.61
ZC3H13	5.9569	10.1298	10.11695	5.40196250602e-43	0.940859572918	3.06693959076e-53	1.00102	1.00102	1.00102	1.00102
ZC3H15	18.2043	23.9543	21.81385	8.12237637458e-11	0.117429018839	5.24522523265e-07	1.00102	1.00102	1.00102	1.00102
ZC3H14	1.4858	2.80795	2.38025	3.55201706632e-50	6.19798785295e-08	1.44415383385e-27	17.1286	7.56328	43.1552	4.67144
SPN	2.4611	0.51145	2.56245	8.28660893196e-13	5.38516563747e-15	0.532529253286	962.205	825.955	822.952	923.499
HMGCLL1	0.0606	0.26055	0.15495	4.36906382819e-08	0.0648030264402	0.000884163876386	1.00102	1.00102	1.00102	1.00102
IQCA1	1.3113	2.48405	1.3446	2.13810727766e-09	4.05055126329e-15	0.173419782467	168.394	78.6359	174.067	125.906
ZC3H18	5.3604	3.9706	4.96185	2.04588844327e-13	9.15798479823e-07	0.000710226830495	1391.98	1230.81	1034.83	1152.18
GRIN1	0.0096	0.00485	0.0045	0.283348912728	0.493527807824	0.155407323204	2629.57	2232.61	2209.7	2529.25
PRMT7	3.9211	2.35985	2.7039	7.10264528782e-26	0.0659847840486	8.17574123608e-30	889.575	782.021	795.702	801.152
