GeneSymbol	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII	SONdmso1	SONdmso2	SONpt2399-1	SONpt2399-2
DHX9	23.2396	38.4429	32.77875	1.24986407982e-47	4.91635283707e-12	7.7708382524e-36	37.3715	80.9716	25.9154	66.1787
TCOF1	5.2162	2.7296	3.4884	1.33443420001e-14	7.71992465439e-08	7.98791495004e-13	815.5	786.47	688.147	768.563
OPA1	6.3991	11.1538	9.49265	1.15973662003e-42	0.32043620936	6.18545087081e-21	1.00102	1.00102	1.00102	1.00102
COL7A1	0.4529	0.30425	0.20315	0.024230811109	0.49896284829	0.00212348231076	1866.35	1740.56	1783.15	1895.05
UGCG	27.4769	16.89135	27.8827	1.48764855695e-06	2.35695348824e-06	0.387370526324	410.753	486.386	397.406	428.994
ITGA3	44.0769	25.6918	28.11	2.69839795475e-06	0.0403837034303	1.8693149706e-05	1464.38	1490.86	1425.68	1717.98
ITGA5	30.4588	6.2954	28.5927	1.72271723028e-17	8.53224496469e-18	0.0393989010848	792.254	650.22	634.982	650.998
PHLDA1	14.3064	8.14055	20.63555	2.52980850114e-07	1.52737863982e-12	4.98321873259e-06	159.274	90.5369	172.954	104.885
CHST3	5.0621	8.10015	6.544	0.347869751693	0.166142082357	0.672385519715	651.999	521.644	450.015	528.54
SMAD3	9.1983	10.49365	10.3278	0.0879767987526	0.0821901867002	0.593864104863	399.964	391.733	351.804	357.365
HAUS7	0.2869	0.04715	0.15665	7.62843763968e-13	3.63061893663e-07	0.00436791446949	650.998	529.763	532.321	684.254
ATP1A1	14.5493	237.19035	31.8982	7.41763114825e-71	5.87749380159e-45	3.61837748216e-11	238.577	136.473	125.906	198.87
SPHK1	2.1908	0.4696	0.87155	7.49820555769e-08	0.000414012806325	2.65266883914e-07	1688.61	1623.88	1514.32	1695.4
GRINA	139.9064	84.3152	83.6773	4.3843014833e-16	0.239727674276	1.06065543673e-24	2945.34	2875.27	2777.39	3310.05
MCM10	0.3487	0.03985	0.36585	4.78203451214e-08	6.90695750288e-15	0.348136831045	17.6847	11.2337	38.7062	62.5083
PNP	9.5924	27.9389	9.07105	4.07773442889e-42	2.25782153069e-40	0.221331499762	231.904	187.302	183.187	149.708
PNN	17.004	15.1324	20.6399	0.00196927092388	6.61075668687e-08	0.473316658729	139.809	107.777	94.7635	130.689
UAP1	12.9846	14.80105	13.51105	0.465255806128	0.314973113904	0.0765672163455	82.3063	74.743	125.906	40.7082
SYPL1	48.4322	83.22445	67.45015	1.1015052321e-12	0.0105357841382	6.11006037888e-07	117.787	127.352	23.0235	91.8716
YDJC	18.8819	7.4049	6.1469	8.3416680006e-22	9.74896345631e-05	1.93974585396e-36	1008.03	927.836	846.198	1065.87
ABCE1	7.4172	7.66185	9.192	0.682317172513	4.92446238684e-07	1.83643032438e-11	1.00102	1.00102	1.00102	1.00102
SLC4A2	9.4884	12.10355	10.47105	0.00558953813681	0.00111552407587	0.807108361479	2393.33	2165.1	2048.98	2367.42
IGFBP3	619.7201	36.91175	468.59795	4.17299579066e-16	2.28220615614e-18	0.000224683379827	253.704	235.129	242.136	226.676
IGFBP1	0.8333	0.54355	0.42045	0.0175764004761	0.098357394443	0.198207880477	301.864	250.033	196.757	318.659
IGFBP4	669.3197	291.48195	369.9767	3.90020818117e-13	0.000539027519847	3.44354218865e-14	986.118	831.516	716.51	920.941
IGFBP5	148.4653	359.22115	189.79055	0.00766202758503	0.0101077678193	0.396329593424	145.148	111.225	241.914	219.224
SKP2	0.7518	0.4402	0.7985	1.34205298757e-07	3.08949659236e-11	0.511151232432	1.00102	1.00102	1.00102	1.00102
PPP6R3	10.6128	12.34725	12.39385	7.47546456977e-07	0.0154423722411	2.77081282148e-10	692.708	659.785	565.578	600.614
CLIC4	105.2328	132.44895	179.48575	0.00344902436289	0.000455773950162	4.97780793892e-12	828.402	641.099	604.506	688.036
NOP2	0.0724	0.0263	0.06175	4.79031095881e-08	3.97417483126e-09	0.0208021003659	1716.31	1589.4	1532.45	1799.84
LARP4B	5.7474	6.589	6.4419	0.000117279735131	0.816528295012	0.000155791033459	266.606	206.656	244.806	117.676
TMEM141	22.0437	17.27665	8.4994	0.0556046686478	5.75810436381e-09	0.000257725574473	3609.46	3276.9	2553.16	2865.93
MYBL1	0.9458	0.3258	1.0216	1.18916024105e-09	2.73422322666e-11	0.964290362325	150.487	52.6093	91.3155	43.4889
MYBL2	2.7205	0.1105	1.01355	1.58841649123e-07	4.82032662761e-05	3.80539869496e-07	532.544	426.102	457.578	527.428
ITGB1BP1	9.3191	10.03605	6.23215	0.00196372805944	4.36574116459e-14	1.709801806e-12	168.839	235.796	172.176	236.686
RAC1	126.3851	92.76135	98.3071	4.96671330666e-12	0.0671917955013	2.56461762403e-12	566.579	520.865	547.67	499.51
